phrase,meaning,example
ghost someone #424,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #425,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #426,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #427,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #428,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #429,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #430,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #431,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #432,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #433,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #434,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #435,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #436,거짓말,He said he met Beyoncé. That’s cap.
flex #437,과시하다,He likes to flex his new watch.
cap #438,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #439,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #440,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #441,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #442,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #443,거짓말,He said he met Beyoncé. That’s cap.
no cap #444,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #445,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #446,이전과 다르게 느껴지다,This song just hits different at night.
cap #447,거짓말,He said he met Beyoncé. That’s cap.
hit different #448,이전과 다르게 느껴지다,This song just hits different at night.
cap #449,거짓말,He said he met Beyoncé. That’s cap.
low-key #450,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #451,과시하다,He likes to flex his new watch.
no cap #452,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #453,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #454,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #455,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #456,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #457,거짓말,He said he met Beyoncé. That’s cap.
no cap #458,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #459,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #460,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #461,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #462,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #463,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #464,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #465,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #466,과시하다,He likes to flex his new watch.
cap #467,거짓말,He said he met Beyoncé. That’s cap.
no cap #468,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #469,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #470,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #471,이전과 다르게 느껴지다,This song just hits different at night.
flex #472,과시하다,He likes to flex his new watch.
high-key #473,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #474,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #475,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #476,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #477,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #478,거짓말,He said he met Beyoncé. That’s cap.
high-key #479,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #480,과시하다,He likes to flex his new watch.
no cap #481,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #482,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #483,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #484,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #485,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #486,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #487,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #488,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #489,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #490,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #491,거짓말,He said he met Beyoncé. That’s cap.
no cap #492,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #493,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #494,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #495,과시하다,He likes to flex his new watch.
throw shade #496,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #497,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #498,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #499,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #500,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #501,과시하다,He likes to flex his new watch.
cap #502,거짓말,He said he met Beyoncé. That’s cap.
cap #503,거짓말,He said he met Beyoncé. That’s cap.
no cap #504,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #505,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #506,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #507,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #508,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #509,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #510,이전과 다르게 느껴지다,This song just hits different at night.
cap #511,거짓말,He said he met Beyoncé. That’s cap.
on fleek #512,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #513,과시하다,He likes to flex his new watch.
on fleek #514,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #515,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #516,과시하다,He likes to flex his new watch.
flex #517,과시하다,He likes to flex his new watch.
cap #518,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #519,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #520,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #521,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #522,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #523,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #524,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #525,과시하다,He likes to flex his new watch.
throw shade #526,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #527,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #528,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #529,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #530,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #531,과시하다,He likes to flex his new watch.
no cap #532,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #533,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #534,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #535,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #536,과시하다,He likes to flex his new watch.
flex #537,과시하다,He likes to flex his new watch.
high-key #538,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #539,거짓말,He said he met Beyoncé. That’s cap.
on fleek #540,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #541,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #542,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #543,과시하다,He likes to flex his new watch.
throw shade #544,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #545,이전과 다르게 느껴지다,This song just hits different at night.
flex #546,과시하다,He likes to flex his new watch.
spill the tea #547,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #548,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #549,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #550,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #551,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #552,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #553,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #554,과시하다,He likes to flex his new watch.
high-key #555,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #556,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #557,이전과 다르게 느껴지다,This song just hits different at night.
low-key #558,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #559,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #560,이전과 다르게 느껴지다,This song just hits different at night.
hit different #561,이전과 다르게 느껴지다,This song just hits different at night.
no cap #562,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #563,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #564,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #565,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #566,거짓말,He said he met Beyoncé. That’s cap.
high-key #567,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #568,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #569,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #570,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #571,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #572,이전과 다르게 느껴지다,This song just hits different at night.
no cap #573,"진짜로, 거짓 없이","That movie was amazing, no cap."
